,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Iranian_Bandari,0.056342,0.076165,-0.087681,0.005383,-0.058062,0.014456,0.000862,-0.001731,-0.022907,-0.019044,0.002057,-0.00055,0.004732,-0.003303,0.011061,0.019513,-0.006085,0.005891,0.004504,-0.017196,0.000749,-0.010758,0.002486,-0.009439,0.005888
Iranian_Fars,0.088515,0.095638,-0.063867,-0.024092,-0.04609,0.000755,0.00441,-0.005212,-0.028585,-0.014825,0.000783,-0.001058,0.00474,-0.00255,0.004551,0.0118,-0.005415,0.00152,0.001967,-0.008938,-0.000404,-0.00336,0.001291,-0.004437,0.004064
Iranian_Jew,0.09283,0.132132,-0.064529,-0.064241,-0.032108,-0.014502,0.000601,-0.004513,-0.012067,-0.002632,0.006351,-0.002681,0.011331,-4.6e-05,-0.001885,0.009708,-0.005882,0.002829,0.005838,-0.011631,-4.2e-05,-0.000934,-0.003862,-0.000469,0.000506
Iranian_Lor,0.087871,0.106631,-0.067391,-0.035207,-0.04647,-0.006665,0.004959,-0.004084,-0.027836,-0.012647,0.00354,-0.000914,0.003627,-0.000771,0.005415,0.009613,-0.003912,0.004117,0.005996,-0.010893,-0.00146,-0.005008,-0.002071,-0.005941,0.005748
Iranian_Mazandarani,0.08992,0.101959,-0.078969,-0.021189,-0.058749,0.005912,0.007614,-0.005054,-0.041375,-0.021267,-0.001364,-0.001888,-7.4e-05,0.001156,0.005592,0.010713,-0.006376,0.003281,0.004198,-0.014019,-0.000911,-0.007691,-0.001553,-0.005374,0.005041
Iranian_Persian,0.081384,0.091804,-0.067052,-0.025097,-0.045639,-0.001255,0.003713,-0.003969,-0.025688,-0.016128,0.000942,-0.004901,0.007106,-0.003372,0.005836,0.013285,-0.005254,0.002673,0.001534,-0.007341,0.001472,-0.002448,0.001072,-0.006109,0.004922
Iranian_Zoroastrian,0.091628,0.107784,-0.063219,-0.022522,-0.045365,0.004044,0.001859,-0.005318,-0.028373,-0.01684,-0.000251,0.000361,0.004365,-0.004942,0.007125,0.013554,-0.003526,0.002885,0.001731,-0.008771,-0.003222,-0.003766,0.000678,-0.003489,0.005367
Iraqi_Jew,0.089493,0.139254,-0.066468,-0.075138,-0.022773,-0.020708,-0.000176,-0.008509,-0.010405,-4.6e-05,0.003674,-0.004627,0.012933,0.005574,-0.006311,0.008419,-0.005981,0.000665,0.003315,-0.011552,0.001139,-0.003462,-0.003112,-0.004007,0.00244
Ireland_EBA,0.126344,0.129988,0.060716,0.064439,0.029698,0.022172,0.001998,0.006,0.002761,-0.005832,-0.00138,0.008692,-0.009737,-0.016584,0.022937,0.014651,-0.003716,0.006968,0.001131,0.00494,0.006613,0.00643,0.00228,0.011026,-0.002934
Ireland_MN,0.119514,0.165531,0.048271,-0.041021,0.08063,-0.013666,-0.00188,0.002769,0.05788,0.084375,-0.008282,0.012739,-0.028246,-0.0139,-0.004614,0.001856,0.012647,0.006461,0.007039,-0.01113,0.013975,0.008161,-0.013064,-0.028438,-0.005029
Irish,0.133674,0.135797,0.060128,0.048683,0.039872,0.017347,0.00423,0.004726,0.004467,0.003142,-0.006047,0.003531,-0.013189,-0.014021,0.023349,0.003962,-0.011192,0.002605,0.000226,0.001541,0.005745,0.000381,-0.001454,0.01472,0.001063
Iron_Gates_HG,0.130571,0.116264,0.180792,0.178629,0.128851,0.056121,0.013597,0.03201,0.063572,-0.010814,-0.008421,-0.017543,0.025697,-0.000841,0.033046,0.047664,0.004731,0.006208,-0.006709,0.047741,0.073353,0.010896,-0.03253,-0.120041,0.011044
Iron_Gates_HG_o,0.127482,0.149283,0.095034,0.027778,0.09294,-0.003347,0.002585,0.011769,0.054608,0.040821,-0.001624,-0.002997,-0.002379,0.003991,-0.005972,0.013259,0.008345,-0.0019,-0.00264,0.02026,0.024457,0.006801,-0.015036,-0.0629,0.005748
Irula,0.015935,-0.14776,-0.185129,0.128861,-0.054595,0.056894,-0.003983,0.015184,0.076195,0.050242,-0.000292,0.000809,-0.000282,0.009221,-0.017684,-0.017608,0.010463,-0.000728,-0.001358,0.020441,0.005883,0.007091,-0.005448,0.004211,-0.006688
Italian_Abruzzo,0.11403,0.147252,0.00072,-0.033181,0.016786,-0.013387,-0.000278,-0.002098,0.00344,0.021007,0.001151,0.003188,-0.005757,-0.00264,-0.006009,-0.002109,0.001719,0.001129,0.002685,-0.004127,-0.0038,0.000843,0.001692,0.001468,-0.00147
Italian_Bergamo,0.123688,0.150468,0.029793,-0.011951,0.036007,-0.0033,0.000274,0.002115,0.010465,0.028216,-0.000947,0.00592,-0.01276,-0.005918,-0.002805,-0.003823,0.000239,0.001457,0.005929,-0.004648,-0.000832,0.000392,-0.004047,0.004197,0.001237
Italian_Jew,0.094928,0.145627,-0.018667,-0.056493,0.011294,-0.024542,-0.003995,-0.002792,0.012885,0.019135,0.004514,0.00021,0.002156,-0.002876,-0.00661,-0.001233,-0.0012,-0.001052,-0.001119,-0.003589,-0.003906,-0.001546,-0.000123,0.002362,0.002874
Italian_South,0.107847,0.145982,-0.004808,-0.039002,0.011771,-0.011574,-0.000176,-0.002942,0.001432,0.019363,-0.001989,0.005133,-0.003717,-0.001824,-0.005972,-0.003779,0.000522,0.001077,0.005122,-0.000344,-0.003463,0.000866,0.001972,0.000693,0.001587
Italian_Tuscan,0.119059,0.147049,0.013124,-0.021641,0.024558,-0.008757,0.000188,0.000738,0.005849,0.02267,0.000195,0.005575,-0.012755,-0.005753,-0.001927,0.001962,0.007406,0.00114,0.004425,-5e-05,2.5e-05,0.001162,-0.001775,0.004675,-0.003401
Itelmen,0.043903,-0.380824,0.113729,0.025471,-0.112461,-0.047491,-0.030652,-0.029669,0.006633,-0.006899,0.033522,-0.000535,0.006626,-0.026541,-0.030149,-0.016195,-0.002906,0.017356,0.04096,0.021475,0.036115,-0.061632,0.012061,0.022103,0.029835
Iyer,0.053098,-0.0458,-0.143645,0.101164,-0.07266,0.05727,0.001246,0.009911,0.029278,0.016556,-0.003313,-0.001049,-0.000788,-0.000523,0.001724,0.003162,0.001812,-8.9e-05,0.000528,-0.003108,0.001348,-0.00217,-0.000259,0.001368,-0.001653
Jamatia,0.019224,-0.364124,-0.051163,-0.009026,0.040589,0.035605,0.002246,0.001282,0.009931,0.011552,-0.029519,-0.003522,0.005591,0.001017,-0.006892,-0.005606,0.003701,-0.002126,-0.007402,0.00915,-0.003875,0.023721,0.002061,0.001245,0.034328
Japanese,0.021911,-0.445437,0.012162,-0.057858,0.036468,0.009796,0.003143,0.000837,-0.006033,0.009932,-0.074029,-0.007456,0.011726,-0.006726,-0.011638,-0.005486,0.001059,0.003579,0.00176,-0.008723,0.027311,-0.017667,0.005346,0.002561,-0.041104
Jarawa,-0.021867,-0.243353,-0.132588,0.098702,0.032557,-0.004829,-0.009982,0.006571,0.054791,0.024084,0.023033,0.002769,-0.003826,0.010046,-0.010736,-0.011431,0.009937,-0.00204,-0.006106,0.028461,-0.004315,0.011344,-0.012805,0.001934,0.004651
Jordanian,0.048944,0.141159,-0.051288,-0.088825,-0.010771,-0.032351,-0.003055,0.001154,0.008999,0.011116,0.005034,-0.015286,0.02557,0.019267,-0.008007,-0.024131,-0.039506,-0.021284,0.014204,0.011506,0.009109,-0.000618,0.011585,-0.009519,0.000838
Ju_hoan_North,-0.61749,0.061186,0.021024,0.029555,0.004385,-0.001673,0.247819,-0.193838,0.022498,0.006743,0.006374,-0.066428,-0.02386,0.006709,0.024871,-0.029866,0.042147,0.368062,-0.120482,0.001813,-0.048134,-0.005317,0.011709,-0.003766,0.000389
Juang,0.003415,-0.263022,-0.156882,0.093993,0.017849,0.063587,-0.00799,0.012692,0.077515,0.04811,0.037512,0.003597,-0.004162,0.024084,-0.024701,-0.026253,0.003129,-0.003801,-0.005656,0.032265,0.003494,0.022999,-0.010106,0.010845,0.015567
Kabardin,0.109156,0.082563,-0.023608,-0.017216,-0.029205,-0.001813,0.00893,-0.0051,-0.045077,-0.020975,-0.003069,0.007269,-0.014316,0.004693,0.005714,-0.015022,0.003533,-0.003231,-0.006737,0.013732,0.003881,0.001323,0.002576,-0.004471,-0.002395
Kadar,0.009277,-0.155325,-0.18543,0.132834,-0.054564,0.054328,-0.005652,0.015934,0.082761,0.053723,0.00216,-0.00039,-0.00078,0.012214,-0.021892,-0.017979,0.013997,-0.000405,-0.002432,0.023142,0.006782,0.010164,-0.005109,0.005507,-0.0077
Kairan_MLBA,0.12384,0.113942,0.058378,0.075841,0.01471,0.02973,0.007473,-0.000323,-0.01358,-0.026096,-0.008054,-0.000749,-0.003806,-0.021497,0.019462,0.009096,-0.006936,-0.000101,-0.002137,0.001401,-0.003269,0.000964,0.00249,0.004386,-0.000934
Kairan_MLBA_o,0.105286,-0.004062,0.063545,0.097062,-0.03416,0.033188,-0.00235,-0.01973,-0.024441,-0.056129,-0.003004,-0.00532,0.007805,-0.027525,0.023005,0.009215,-0.013234,-0.001394,0.000628,-0.001751,-0.012416,0.006677,0.01744,0.005001,-0.00479
Kalash,0.083375,0.025134,-0.084067,0.066417,-0.072052,0.040277,0.003075,0.001865,-0.031045,-0.025984,-0.005731,-0.000743,-0.002348,-0.010769,0.016428,0.008055,-0.014978,0.002159,0.000723,-0.013267,-0.003905,-0.005456,0.003127,-0.003279,0.003408
Kalmyk,0.048261,-0.3335,0.061244,-0.023321,-0.047024,-0.026606,0.016075,0.01583,0.000777,0.008529,-0.031958,-0.003387,-0.002081,0.002064,0.002389,0.00183,-0.002921,0.002584,0.006159,0.011956,-0.018118,-0.008037,-0.014716,-0.001446,0.001581
Kanai_MBA,0.091058,-0.146236,0.057322,0.104329,-0.085862,0.003904,-0.030786,-0.02746,-0.043155,-0.057587,0.018188,-0.008992,0.008176,-0.036195,0.012622,0.004641,-0.006389,0.004561,0.005154,0.019009,-0.035188,-0.005317,0.01479,0.013857,0.000239
Kangju,0.099595,0.045529,0.012634,0.04732,-0.031647,0.018267,-0.000235,0.000385,-0.025259,-0.032286,-0.003383,-0.002498,0.00171,-0.021836,0.018775,0.018209,-2.2e-05,0.003758,-0.000335,-0.003356,-0.006052,-0.000392,0.001972,0.004217,-0.002235
Kanjar,0.048565,-0.067025,-0.147957,0.115958,-0.075091,0.064424,0.000862,0.009769,0.040019,0.021929,-0.006874,0.001149,-0.001933,-0.003119,0,-0.011182,-0.000435,-0.00114,-0.000545,0.000667,0.001913,-0.002473,0.006491,-0.00478,-0.013971
Kapu,0.035854,-0.105615,-0.165179,0.11402,-0.064627,0.058288,-0.004935,0.012923,0.052563,0.034534,-0.00747,-0.000599,-0.000743,0.002202,-0.008822,-0.007027,0.00691,-0.004878,-0.000943,0.012131,0.005116,0.000804,-0.000678,0.004398,-0.002874
Karachay,0.106361,0.085192,-0.025435,-0.017191,-0.030741,-0.002541,0.007285,-0.002974,-0.047472,-0.022152,-0.004673,0.007593,-0.017575,0.000856,0.005414,-0.015587,0.009866,-0.005912,-0.008589,0.017342,0.004866,0.002817,-0.001013,-0.004552,-0.000772
Karagash_MLBA,0.12862,0.109677,0.063922,0.083334,0.012618,0.033746,0.0094,0.010384,-0.018612,-0.034534,-0.001543,-0.000899,0.000966,-0.027869,0.021851,0.017038,0.005607,-0.001457,-0.003331,0.004064,-0.001934,0.004637,-0.0053,0.004037,-0.007963
Karakalpak,0.07057,-0.18767,0.036581,-0.002713,-0.033422,-0.01361,0.010293,0.012738,-0.006995,-0.003207,-0.021468,-0.002098,0.00226,-2.8e-05,0.000299,-0.002837,-0.007197,-0.001064,-0.001508,0.006153,-0.012553,-0.000866,-0.010895,0.000699,-0.000671
Karakhanid,0.062034,-0.174671,0.030547,0.008075,-0.045855,-0.004462,0.003643,0.000808,-0.014419,-0.01303,-0.017619,-0.002847,0.002156,-0.01218,0.010247,0.002121,-0.005867,0.00076,0.00176,0.000688,-0.013663,-0.000927,-0.004129,-0.00247,-0.005688
Karasuk,0.113823,0.032497,0.058831,0.078166,-0.008925,0.025379,-0.002115,-0.000462,-0.015748,-0.033531,-0.002923,-0.000749,-0.000595,-0.029451,0.021308,0.021745,0.005085,0.000887,0.003771,0.002626,-0.012852,0.002349,0.000493,0.006266,-0.002754
Karasuk_o,0.081193,-0.17264,0.081835,0.053726,-0.064114,-0.013294,-0.005405,7.7e-05,-0.001773,-0.022415,0.0059,-0.001898,0.003518,-0.033626,0.010767,0.001768,-0.008649,-0.00228,0.002891,0.009338,-0.029198,0.01084,0.005135,-0.006025,-0.009859
Karelian,0.126551,0.07718,0.092634,0.081808,0.02753,0.0233,0.009956,0.014706,0.00212,-0.028545,0.006245,-0.009251,0.020245,0.008533,-0.005626,0.001157,-0.002892,-0.000484,-0.000171,0.003126,0.006375,-0.001259,0.002823,-0.00092,0.004213
Karitiana,0.058334,-0.320019,0.117992,0.10865,-0.112752,-0.01377,-0.322905,-0.380148,-0.015288,-0.018429,0.001624,-0.002117,-0.002267,0.027112,-0.004411,0.003994,0.010594,0.003088,-0.000126,-0.001094,-0.005288,0.011654,-0.004206,-0.001431,-0.00741
Karluk,0.062034,-0.150298,0.014708,0.001615,-0.047547,-0.006275,0.001528,0.01073,-0.012374,-0.010479,-0.02176,0.002098,-0.001635,-0.005505,0.009908,-0.006364,-0.014603,0.006461,0.007165,-0.000625,-0.00992,-0.002659,-0.00456,-0.001024,0.004431
Kashkarchi_BA,0.124636,0.104092,0.048649,0.092055,-0.000462,0.034304,0.002585,-0.000462,-0.017282,-0.037358,-0.000487,0.000225,0.00446,-0.026286,0.020833,0.014187,-0.007693,0.000127,-0.002388,0.001626,-0.001747,0.002349,-0.001972,0.005061,-0.00491
Katelai_IA,0.070286,0.000254,-0.118322,0.071949,-0.084093,0.04267,0.003878,0.003461,-0.016004,-0.012529,-0.002842,0.003484,-0.002676,-0.003234,0.009975,0.005867,-0.007823,0,0.004682,-0.008035,0.002745,-0.010696,0.003975,-0.000874,0.003413
Kazakh,0.067611,-0.219354,0.044953,-0.006815,-0.036099,-0.013945,0.010528,0.011215,-0.006524,-0.001531,-0.022377,-0.002638,0.0011,-0.001239,0.001425,0.001498,0.000339,0.000418,0.001659,0.005915,-0.0139,-0.005948,-0.008405,0.00053,0.001138
Kazakh_Mys_MLBA,0.121791,0.091398,0.054965,0.087614,-0.001923,0.027331,0.003584,5.8e-05,-0.021117,-0.038361,-0.002639,-3e-04,0.00275,-0.026011,0.023887,0.009977,-0.01105,-0.004561,-0.005751,-0.001282,-0.005147,0.00136,0.000801,0.008134,-0.005269
Kazakh_steppe_EBA,0.081384,-0.1635,0.082967,0.117573,-0.081092,0.016036,-0.033136,-0.040498,-0.021066,-0.057769,0.016076,-0.003297,0.015386,-0.048718,0.016694,0.007094,-0.018515,-0.000887,-0.000943,0.001313,-0.031632,0.009459,0.015899,0.010483,-0.008023
Kennewick,0.046667,-0.307705,0.109742,0.08721,-0.100634,-0.019801,-0.220675,-0.261681,-0.01268,-0.017677,0.001949,0.000599,0.001784,0.012524,-0.010043,0.010209,0.007302,0.005701,0.013575,0.005002,0.000499,-0.008532,-0.002342,0.001566,-0.001676
Ket,0.086506,-0.181577,0.116229,0.055104,-0.078415,-0.023483,0.006392,0.012046,0.004131,-0.024966,0.055699,-0.002758,0.018761,-0.066197,-0.018757,-0.009308,-0.003207,0.00451,0.009503,0.001926,-0.021587,0.033782,0.050137,-0.024509,-0.017747
Khakass,0.066396,-0.251174,0.074544,0.015289,-0.061037,-0.015246,0.007677,0.010692,-0.00375,-0.009901,-0.008498,-0.003397,0.004262,-0.021148,0.006107,0.002254,-0.006128,-0.002956,0.004022,0.014674,-0.03186,0.008408,-0.005957,-0.003535,-0.006427
Khanty,0.081241,-0.186223,0.115116,0.062864,-0.089209,-0.026634,0.008578,0.01474,0.000818,-0.032985,0.054908,-0.003709,0.021704,-0.073112,-0.023802,-0.013723,-0.005965,0.002391,-0.002168,-0.012084,-0.004508,0.024638,0.019057,-0.00354,-0.008143
Khatri,0.073386,0.003153,-0.105773,0.073202,-0.072872,0.046472,0.003686,0.004822,-0.006383,-0.00751,-0.005991,0.000465,-3.9e-05,-0.008069,0.009143,0.011263,-0.00162,0.000854,0.000132,-0.011743,-0.00157,-0.007042,0.002186,-0.001364,0.000996
Kho_Singanali,0.087644,0.005585,-0.07071,0.059755,-0.06832,0.035977,0.001293,0.001385,-0.017896,-0.020228,-0.003248,-0.003522,0.00223,-0.010872,0.009025,0.015911,-0.002217,0.00095,0.004777,-0.003627,-0.009483,-0.000866,0.001849,-0.005543,0.005389
Khomani_San,-0.623751,0.062963,0.02357,0.028747,-0.000154,0.001534,0.236303,-0.182992,0.016566,0.008656,0.002436,-0.052753,-0.022596,0.004404,0.019001,-0.020883,0.030771,0.260598,-0.08692,0.001438,-0.031133,-0.002226,0.006286,-0.005302,0.001617
Khonda_Dora,0.006829,-0.248805,-0.167442,0.0969,0.014156,0.069444,-0.00799,0.003231,0.07097,0.039181,0.036375,0.005695,-0.00773,0.016652,-0.018322,-0.024662,0.017993,-0.001774,-0.009553,0.033641,-0.003868,0.018053,-0.010599,0.017111,0.00467
Khvalynsk_Eneolithic,0.123498,0.053823,0.096354,0.16893,-0.017388,0.05034,-0.010458,-0.011653,-0.034565,-0.084922,0.005521,-0.004871,0.023117,-0.043764,0.02504,0.017436,-0.000261,-0.002914,-0.013575,0.011881,-0.010606,0.004204,0.013311,-0.001325,-0.007963
Kikuyu,-0.497407,0.075657,-0.00132,-0.024144,-0.002462,-0.010946,-0.011692,0.013038,0.049597,-0.044785,-0.005684,0.001424,-0.017282,-0.000723,-0.000577,-0.001492,0.004922,0.005099,0.002451,-0.003377,0.003525,0.002288,0.003913,-0.001446,-0.001676
Kimak,0.075123,-0.144205,0.054305,0.018411,-0.051702,-0.003626,0.00705,0.00923,-0.015748,-0.012028,-0.007307,0,-0.006244,-0.004542,0.011401,0.009149,-0.016689,0.005321,0,-0.018759,-0.020838,-0.005564,-0.005176,-0.002289,0.007544
Kinh_Vietnam,0.018098,-0.435357,-0.039145,-0.058334,0.114175,0.056475,-0.000893,-0.008423,-0.017364,-0.009914,0.001494,-0.002083,0.002304,-0.005367,-0.001629,-0.000835,3.9e-05,0.000874,-0.003846,-0.008704,0.009346,0.005367,0.011166,-0.000518,0.003281
Kipchak,0.069432,-0.128972,0.026587,0.00646,-0.040007,-0.005578,0.003878,0.014769,-0.006033,-0.008747,-0.013559,-0.000225,0.001189,-0.006124,0.002036,0.012397,0.003716,-6.3e-05,0.007102,0.003314,-0.012915,0.001051,-0.000185,-0.001265,-0.001676
Kirghiz,0.059947,-0.259298,0.0489,-0.012956,-0.038948,-0.014905,0.010758,0.011358,-0.006249,0.001762,-0.027949,-0.001649,0.001239,-0.003945,0.0019,-0.001488,-0.002347,0.001746,0.003659,0.009421,-0.013851,-0.007048,-0.011133,-0.001526,0.002355
Kohistani,0.073757,-0.006499,-0.102464,0.068961,-0.074219,0.043702,0.003517,0.003138,-0.009626,-0.01094,-0.006809,0.00041,-0.001328,-0.007523,0.010876,0.010576,-0.001878,0.000473,0.000348,-0.009,-0.003972,-0.003825,0.00249,-0.002161,0.003848
Koinanbe,-0.043253,-0.243727,-0.261345,0.308466,0.21204,-0.508975,0.00094,0.004615,-0.041314,-0.014943,-0.019811,0.000749,0.000595,-0.000688,-0.000407,-0.000796,-0.006519,-0.003674,-0.000126,0.002751,0.001872,0.001484,0.004437,-0.000964,0.00012
Kol,0.050841,-0.071087,-0.152985,0.108959,-0.07386,0.064238,7.8e-05,0.012999,0.038246,0.025817,-0.003518,0.001449,-0.001685,-0.00211,-0.003619,-0.004199,0.006823,-0.001394,-0.003729,-0.002876,0.00262,0.002432,0.002794,0.00233,-0.003193
Komi,0.118718,0.030771,0.085041,0.068283,-0.004616,0.014168,0.009494,0.013084,-0.003088,-0.029814,0.009938,-0.008602,0.018226,-0.006221,-0.008768,-0.00476,-0.001473,-0.001444,-0.003959,-0.003964,0.001472,-0.001199,-0.000123,0.001205,0.000419
Korean,0.025752,-0.452164,0.016593,-0.063995,0.038815,0.016211,0.006786,0.004586,-0.005803,0.005604,-0.074638,-0.010022,0.01141,-0.004456,-0.010043,-0.003398,0.002673,0.00171,-0.001823,-0.007175,0.014038,-0.002272,0.008858,-0.000828,-0.011975
Koros_HG,0.137726,0.12491,0.180264,0.154395,0.128332,0.042112,0.015041,0.03646,0.071992,0.006925,-0.005196,-0.013488,0.014717,-0.003303,0.028637,0.046141,0.018384,0.005954,-0.008296,0.045772,0.061142,0.010634,-0.040672,-0.124475,0.013053
Koros_N,0.11553,0.180256,0.00132,-0.11079,0.054164,-0.051874,-0.003995,-0.005538,0.042336,0.094125,0.005846,0.013488,-0.026982,-0.002615,-0.03963,-0.011138,0.029532,-0.001204,0.017221,-0.009692,-0.019715,0.005564,-0.006224,0.001687,-0.003293
Korwa,0.006513,-0.226801,-0.174083,0.112728,-0.009916,0.06399,-0.006515,0.010794,0.07806,0.04967,0.021282,0.003089,-0.004344,0.013311,-0.020283,-0.023181,0.008902,-0.00252,-0.003045,0.027013,0.00077,0.018067,-0.005587,0.00814,0.006919
Koryak,0.04348,-0.388135,0.119547,0.012468,-0.118791,-0.054384,-0.029329,-0.028291,0.008795,-0.001895,0.040142,-0.00015,-0.001457,-0.019185,-0.028664,-0.018244,-0.002764,0.016647,0.038338,0.022061,0.036486,-0.059526,0.009515,0.021714,0.032835
Kosipe,-0.043253,-0.242712,-0.255688,0.297807,0.205885,-0.491405,0.002585,0.004846,-0.03845,-0.012392,-0.01429,0.002997,0.00223,-0.005505,-0.00095,0.00305,-0.002868,0.001647,0.001131,-0.002501,0.002745,0.001237,0.001725,-0.004579,0.00491
Kostenki14,0.035285,0.015233,-0.010182,0.063954,0.017849,-0.00251,-0.004465,-0.007846,0.032519,0.007654,0.006658,-0.005545,0.004014,-0.016239,0.013436,0.024927,0.01004,-0.003547,-0.00729,0.015007,0.020838,0.000371,-0.005916,-0.051212,-0.004071
Krasnoyarsk_MLBA,0.124143,0.100063,0.058001,0.081224,0.004822,0.029395,0.004136,0.003538,-0.015039,-0.032414,0.000216,-0.001589,-0.002765,-0.022286,0.020467,0.008176,-0.005024,-0.000769,0.000553,-0.000767,-0.008302,0.004188,0.002375,0.008202,-0.00285
Krasnoyarsk_MLBA_o,0.102441,-0.076165,0.094657,0.094639,-0.053241,-0.001116,-0.004465,0.000462,-0.006749,-0.036994,0.025495,-0.013038,0.010704,-0.044039,0.011265,-0.000265,-0.013299,0,0.009553,-0.003502,-0.003119,0.006801,0.005423,0.00482,-0.003233
Krepost_N,0.1161,0.152329,-0.024513,-0.071383,0.020311,-0.042112,-0.003525,-0.012461,0.005113,0.047746,-0.006333,0.009292,-0.014866,-0.013625,-0.029451,-0.014187,0.019297,0.002027,0.006536,-0.00963,-0.012977,-0.001113,-0.006162,0.000964,-0.001676
Kshatriya,0.055773,-0.04299,-0.131615,0.103791,-0.070885,0.057637,0.001175,0.009923,0.028224,0.012757,-0.003843,-0.001798,-0.001734,-0.003211,-0.001402,0.001237,0.000869,0.000633,0.004902,-0.006253,-0.002745,-0.000948,-0.00037,0.005342,-0.001277
Kumyk,0.106538,0.088757,-0.022627,-0.016602,-0.034037,-0.000669,0.010246,0.000923,-0.043973,-0.023472,-0.002046,0.002068,-0.010585,-0.001294,0.002416,-0.00472,0.003181,-0.002154,-0.007517,0.007704,0.003394,0.003462,0.002736,0.001084,0.000623
Kurdish,0.097888,0.114077,-0.061471,-0.04016,-0.040418,-0.006414,0.003838,-0.005692,-0.030679,-0.013243,0.001895,-0.002947,0.002825,-0.003303,0.00285,0.016353,0.002086,0.003927,-0.000335,-0.007462,0.003452,-0.003792,-0.000329,-0.00478,0.00016
Kurumba,0.0387,-0.089367,-0.177247,0.113051,-0.075091,0.058288,0.001645,0.01223,0.049699,0.033714,-0.001137,0.004046,-0.001933,0.011973,-0.009636,-0.003978,0.003781,0.002027,-0.004651,0.000625,0.006239,0.001237,-0.004067,-0.003856,-0.00012
Kusunda,0.021879,-0.30669,-0.070061,0.033556,-0.006942,0.030275,0.000601,0.008487,0.028792,0.022901,-0.054454,-0.005462,0.006508,-0.002661,-0.012833,-0.00772,0.007649,-0.004293,-0.007179,0.0107,0.001234,0.022546,0.003341,0.001111,0.021874
Kyrgyz,0.058619,-0.260991,0.044689,-0.017765,-0.03693,-0.009901,0.010928,0.012923,-0.007772,0.00246,-0.030854,-0.001649,0.001115,0.000963,0.005632,-0.001458,-0.007627,6.3e-05,0,0.010505,-0.01435,-0.003462,-0.009059,-0.002048,0.000838
Kyzlbulak_MLBA1,0.12862,0.1046,0.052043,0.082365,0.000615,0.034582,0.000235,0.000462,-0.016975,-0.032438,0.006008,-0.002098,-0.003717,-0.021607,0.02538,0.009414,-0.006258,-0.004307,0.001885,0.002876,0.002246,0.008656,0.007025,0.006989,-0.003473
Kyzlbulak_MLBA2,0.113823,0.060932,0.018102,0.087533,-0.049855,0.031236,0.002585,-0.011769,-0.03661,-0.046288,0.001949,-0.002398,0.003122,-0.037709,0.026737,0.019358,0.008475,-0.006968,-0.002765,-0.00075,-0.009358,0.00136,0.010353,0.011929,-0.001197
Lahu,0.015302,-0.433631,-0.036497,-0.054516,0.103336,0.047411,0.001723,-0.007282,-0.011158,-0.00656,-0.003843,-0.000233,-0.000116,-0.002095,-0.00193,0.000427,0.002086,-0.000394,-0.003436,0.002182,-0.000305,0.017559,0.006395,0.002758,0.029445
Lapita_Tonga,0.011382,-0.404181,-0.04714,-0.048773,0.142796,0.063587,0.00047,0.000231,-0.020861,-0.010205,0.050828,0.012889,-0.010109,-0.012661,0.017508,0.003713,-0.003651,0.004054,0.012067,-0.014257,0.000624,-0.022505,-0.015406,-0.012532,-0.069215
Lapita_Vanuatu,0.007968,-0.42246,-0.042238,-0.061478,0.144437,0.063959,-0.002663,-0.015384,-0.020793,-0.02527,0.059001,0.01079,-0.0055,0.002385,0.014794,0.009546,-0.003086,0.004519,0.012151,-0.01434,0.004617,-0.025184,0.000904,-0.010724,-0.068457
Latvia_HG,0.12926,0.10041,0.180264,0.197233,0.106424,0.056092,0.008357,0.020711,0.052448,-0.02614,-0.004679,-0.018115,0.028143,-0.005376,0.035576,0.048014,0.003072,0.004086,-0.005924,0.042325,0.061353,0.013053,-0.026298,-0.111055,0.009595
Latvia_MN,0.129303,0.070681,0.152357,0.194512,0.047578,0.058957,-0.005076,0.006323,0.020821,-0.055946,0.005229,-0.018524,0.029851,-0.027552,0.027931,0.036197,0.001095,-0.000127,-0.007441,0.03104,0.026828,0.017237,-0.008726,-0.060081,0.001389
Latvian,0.135449,0.122473,0.088774,0.089471,0.043208,0.034025,0.012597,0.014076,-0.002168,-0.036885,-0.003573,-0.013818,0.023221,0.031378,-0.010559,0.004057,0.002712,-0.00038,0.001609,0.004302,-0.002795,-0.005713,0.009071,-0.009327,0.002634
LBK_N,0.124446,0.182524,0.014984,-0.087684,0.063089,-0.042726,-0.003368,-0.0036,0.043046,0.086866,0.007502,0.014137,-0.022279,0.001055,-0.039594,-0.007858,0.018975,0.003708,0.014221,-0.009371,-0.011471,0.008103,-0.008808,-0.005663,-0.004503
LBK_N_Austria,0.122075,0.183938,0.015792,-0.088543,0.064243,-0.04281,-0.002321,-0.003779,0.044995,0.086038,0.007937,0.010509,-0.020404,0.002529,-0.038205,-0.012961,0.014847,0.001124,0.014644,-0.009645,-0.006738,0.00983,-0.005854,-0.006492,-0.005853
