,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Colla,0.053876,-0.294842,0.118793,0.090333,-0.110174,-0.017663,-0.291335,-0.350601,-0.012817,-0.01464,-0.003897,-0.002947,0.002924,0.021744,-0.00475,0.009414,0.007258,-0.000633,0.001299,0.002043,-0.005324,0.006183,-0.000493,0.001928,-0.001676
Comb_Ceramic,0.12862,0.083273,0.13878,0.158917,0.047393,0.062472,-0.00893,0.003923,0.01493,-0.051026,0.007795,-0.024728,0.026462,-0.009496,0.023615,0.010872,-0.017341,-0.005194,-0.005908,0.026388,0.008984,0.014838,-0.010599,-0.047356,0.001676
Cossack_Kuban,0.130897,0.098506,0.075047,0.064277,0.033852,0.016176,0.0094,0.017076,0.000205,-0.02442,0,-0.006594,0.017988,0.012799,-0.009636,0.008088,0.021905,0.000633,-0.002514,0.006003,0.005865,-0.000866,-0.003204,0.002771,-0.003473
Cossack_Ukrainian,0.135449,0.116786,0.071653,0.060078,0.033852,0.023148,0.011281,0.010615,0.003068,-0.017859,-0.000974,-0.008243,0.017839,0.021744,-0.009093,0.001989,0.000391,0.005194,0.00352,0.003377,-0.009608,-0.002349,0.004067,-0.006868,0.000599
Croatian,0.128051,0.133847,0.051892,0.031493,0.035822,0.012522,0.006016,0.006738,0.001841,-0.005886,-0.001153,-0.002383,0.004727,0.012785,-0.006637,-0.002201,0.002751,-0.000722,0.00181,-0.00075,-0.005166,-0.002424,0.004425,-0.001097,0.00018
CWC_Baltic,0.125205,0.114417,0.071024,0.093455,0.031596,0.028819,0.009322,0.008077,-0.006408,-0.027275,0.002869,-0.005545,0.006095,-0.000183,0.015834,0.010475,0.002912,0.000549,0.00352,0.00371,0.005158,0.002638,-0.002177,-0.004298,2e-04
CWC_Baltic_early,0.126723,0.094106,0.053928,0.11122,-0.009848,0.048434,0.005327,0.005923,-0.036337,-0.059044,-0.008823,0.002148,0.003717,-0.014129,0.032844,0.014276,-0.002564,-0.002914,-0.000922,0.006045,-0.007778,0.001978,0.009654,0.02181,-0.001277
CWC_Czech,0.124636,0.111708,0.052608,0.083173,0.014618,0.028447,0.00094,0.001385,-0.017896,-0.032711,-0.003491,-0.000974,-0.004088,-0.017822,0.022326,0.013856,0.000717,-0.000887,0.006034,0.007879,-0.001497,-0.002535,0.003204,0.008013,-0.00018
CWC_Czech_o,0.121791,0.175687,0.041106,-0.05491,0.077553,-0.02008,-0.004465,0.001154,0.060335,0.081642,-0.005684,0.01109,-0.035827,-0.005918,-0.017779,-0.005171,0.01369,0.006334,0.009804,-0.003627,0.01123,0.00371,-0.015159,-0.02169,-0.001317
CWC_Germany,0.130214,0.117192,0.058982,0.079846,0.014341,0.031626,0.001974,0.003508,-0.019552,-0.029085,-0.003053,0.004106,-0.003389,-0.012799,0.025135,0.010501,-0.012986,0.00228,0.003394,0.005853,0.008111,0.004872,0.004141,0.006893,0.004431
Cypriot,0.099737,0.146744,-0.037853,-0.070253,-0.007001,-0.024298,0.001645,-0.004759,0.002966,0.013873,0.004445,-0.00015,0.002546,0.001824,-0.008601,0.000895,0.002363,0.000998,0.002247,-0.001251,-0.002449,0.001144,-0.002711,0.001777,-0.002066
Czech,0.131385,0.132091,0.060474,0.046881,0.038425,0.018805,0.006211,0.008719,0.004646,-0.009047,-0.001531,-0.004078,0.005777,0.011875,0.001396,0.000578,-0.000522,-4.5e-05,0.004067,0.002725,-0.001007,-5.3e-05,0.006567,0.003942,0.001437
Czech_EBA,0.126249,0.128718,0.055562,0.055476,0.029467,0.014549,0.003271,0.001269,0.000767,-0.004146,-0.002571,0.00266,-0.009031,-0.009507,0.016479,0.009281,-0.001499,0.001087,0.002901,0.004012,0.005989,0.002195,0.000185,0.004318,-0.001766
Czech_MN,0.122929,0.184319,0.019422,-0.077359,0.064627,-0.044483,-0.009165,0.001385,0.048881,0.084102,0.001299,0.017834,-0.024678,0.006055,-0.027619,-0.011403,0.004237,0.003294,0.01169,-0.01507,-0.005553,0.010201,-0.012078,-0.010363,-0.004012
Dai,0.015651,-0.438709,-0.046763,-0.060967,0.120176,0.062262,0.00047,-0.007384,-0.01897,-0.013121,0.010921,0.002023,-0.000446,-0.006193,0.001289,0.004574,0.006128,-0.00095,-0.004337,-0.011662,0.012197,0.009027,0.014944,0.002892,0.007095
Dali_EBA,0.106994,-0.045699,0.059208,0.153749,-0.088324,0.04518,-0.026791,-0.043383,-0.042336,-0.082006,0.019324,-0.005245,0.015907,-0.053673,0.034202,0.019225,-0.005346,-0.000887,-0.003394,0.005002,-0.030571,0.005935,0.014297,0.013978,-0.002275
